Date,nh3+orgn
2011-10-17,15.00237656
2011-10-18,15.07088056
2011-10-19,14.52284854
2011-10-20,14.45434454
2011-10-21,13.93811795
2011-10-22,13.87206052
2011-10-23,13.87206052
2011-10-24,13.54911308
2011-10-25,13.29466964
2011-10-26,13.29466964
2011-10-27,12.66100762
2011-10-28,12.90566477
2011-10-29,12.96682906
2011-10-30,12.33072046
2011-10-31,12.50687361
2011-11-1,12.44815589
2011-11-2,12.44815589
2011-11-3,11.7606693
2011-11-4,11.70439815
2011-11-5,11.87321159
2011-11-6,11.51845872
2011-11-7,11.57228329
2011-11-8,11.08786213
2011-11-9,11.08786213
2011-11-10,10.7893804
2011-11-11,10.7893804
2011-11-12,10.89213641
2011-11-13,10.47132611
2011-11-14,10.56918897
2011-11-15,10.66705183
2011-11-16,10.47132611
2011-11-17,9.761820365
2011-11-18,9.901274941
2011-11-19,10.13369924
2011-11-20,10.04072952
2011-11-21,9.380155208
2011-11-22,9.468231782
2011-11-23,9.644384932
2011-11-24,9.820538081
2011-11-25,10.55206297
2011-11-26,11.48176014
2011-11-27,11.48176014
2011-11-28,11.35209185
2011-11-29,10.76491469
2011-11-30,10.47132611
2011-12-1,10.52025754
2011-12-2,10.89213641
2011-12-3,10.89213641
2011-12-4,11.51845872
2011-12-5,11.30316042
2011-12-6,11.1416867
2011-12-7,11.59185586
2011-12-8,11.47931357
2011-12-9,11.1416867
2011-12-10,11.86097873
2011-12-11,12.09584959
2011-12-12,12.84450048
2011-12-13,12.90566477
2011-12-14,13.33381478
2011-12-15,15.77549316
2011-12-16,14.69410855
2011-12-17,14.13629024
2011-12-18,13.67388823
2011-12-19,13.83780852
2011-12-20,13.63229651
2011-12-21,13.56379251
2011-12-22,13.01576049
2011-12-23,13.08426449
2011-12-24,13.56379251
2011-12-25,13.76930451
2011-12-26,13.01331391
2011-12-27,12.94725648
2011-12-28,12.88119905
2011-12-29,12.81514162
2011-12-30,12.68302676
2011-12-31,12.61696933
