date,flow
2013364,0.3681184
2013365,0.36245504
2014001,0.35396
2014002,0.34263328
2014003,0.33413824
2014004,0.31997984
2014005,0.31431648
2014006,0.31431648
2014007,0.31431648
2014008,0.31431648
2014009,0.3114848
2014010,0.32847488
2014011,0.33413824
2014012,0.35112832
2014013,0.35962336
2014014,0.36245504
2014015,0.37095008
2014016,0.37095008
2014017,0.37095008
2014018,0.40209856
2014019,0.40209856
2014020,0.42192032
2014021,0.4105936
2014022,0.42758368
2014023,0.42192032
2014024,0.42192032
2014025,0.42758368
2014026,0.43041536
2014027,0.424752
2014028,0.42192032
2014029,0.41908864
2014030,0.41625696
2014031,0.40493024
2014032,0.40493024
2014033,0.40209856
2014034,0.40209856
2014035,0.40209856
2014036,0.39926688
2014037,0.39360352
2014038,0.39360352
2014039,0.39077184
2014040,0.3822768
2014041,0.3822768
2014042,0.37378176
2014043,0.3822768
2014044,0.39077184
2014045,0.3822768
2014046,0.37378176
2014047,0.36528672
2014048,0.37378176
2014049,0.37661344
2014050,0.37095008
2014051,0.3822768
2014052,0.37944512
2014053,0.37661344
2014054,0.37378176
2014055,0.3681184
2014056,0.38794016
2014057,0.37661344
2014058,0.37661344
2014059,0.38794016
2014060,0.37661344
2014061,0.36528672
2014062,0.36528672
2014063,0.38794016
2014064,0.38794016
2014065,0.39926688
2014066,0.4105936
2014067,0.424752
2014068,0.44457376
2014069,0.4530688
2014070,0.46439552
2014071,0.47572224
2014072,0.4813856
2014073,0.4813856
2014074,0.47289056
2014075,0.4672272
2014076,0.46156384
2014077,0.46156384
2014078,0.45590048
2014079,0.45590048
2014080,0.45873216
2014081,0.44457376
2014082,0.40776192
2014083,0.40776192
2014084,0.4105936
2014085,0.41342528
2014086,0.41625696
2014087,0.41625696
2014088,0.41908864
2014089,0.41908864
2014090,0.4813856
2014091,0.7645536
2014092,1.132672
2014093,1.4724736
2014094,1.840592
2014095,1.21195904
2014096,1.34787968
2014097,3.0582144
2014098,6.7393984
2014099,14.7530528
2014100,25.2869024
2014101,25.4284864
2014102,16.28216
2014103,9.20296
2014104,6.2863296
2014105,4.0209856
2014106,2.36728448
2014107,2.21720544
2014108,2.57399712
2014109,2.59665056
2014110,2.9449472
2014111,4.7005888
2014112,4.9271232
2014113,2.33047264
2014114,1.95102752
2014115,3.3130656
2014116,4.7289056
2014117,3.114848
2014118,4.3041536
2014119,9.5427616
2014120,16.1972096
2014121,11.5532544
2014122,7.6172192
2014123,5.3235584
2014124,3.0582144
2014125,2.06429472
2014126,1.62538432
2014127,1.3733648
2014128,1.36203808
2014129,3.9926688
2014130,9.9391968
2014131,5.3235584
2014132,5.1536576
2014133,12.884144
2014134,9.9958304
2014135,4.5873216
2014136,2.5343536
2014137,1.86324544
2014138,1.52627552
2014139,1.9538592
2014140,7.9003872
2014141,15.291072
2014142,6.8809824
2014143,3.0298976
2014144,1.9538592
2014145,1.5149488
2014146,1.29690944
2014147,1.29124608
2014148,1.4016816
2014149,1.86607712
2014150,1.3167312
2014151,1.11568192
2014152,3.256432
2014153,9.344544
2014154,10.2789984
2014155,4.6439552
2014156,2.18888864
2014157,1.70467136
2014158,1.89439392
2014159,3.5679168
2014160,3.8794016
2014161,1.95669088
2014162,1.4724736
2014163,1.32522624
2014164,1.18647392
2014165,1.10152352
2014166,3.4263328
2014167,10.9302848
2014168,14.016816
2014169,6.512864
2014170,5.3235584
2014171,13.9884992
2014172,16.6502784
2014173,6.4845472
2014174,3.1431648
2014175,2.23419552
2014176,1.88873056
2014177,2.62213568
2014178,1.81793856
2014179,2.28233408
2014180,6.5411808
2014181,6.0031616
2014182,4.8421728
2014183,3.0015808
2014184,2.51736352
2014185,1.80378016
2014186,1.46681024
2014187,1.35071136
2014188,1.35637472
2014189,1.36486976
2014190,1.2459392
2014191,1.1609888
2014192,1.11568192
2014193,1.132672
2014194,1.58007744
2014195,2.37577952
2014196,1.29974112
2014197,1.10718688
2014198,1.0194048
2014199,0.97409792
2014200,0.93728608
2014201,0.91746432
2014202,0.89481088
2014203,0.8636624
2014204,0.83251392
2014205,0.8070288
2014206,0.8211872
2014207,0.83251392
2014208,0.81269216
2014209,0.80136544
2014210,0.78720704
2014211,0.78154368
2014212,0.77304864
